targy_nev,kredit,felelos,nyelv,link
Árutőzsdei (alap)ismeretek,3,Dr. Mizik Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/VF00138NMBB?semester=2024/25/1
Audit and assurance,6,Dr. Lakatos László Péter,magyar,https://www.uni-corvinus.hu/tantargyak/SZAM066NAMB?semester=2024/25/2
Az egyensúlyelmélet mikroökonómiája,5,Mágó Mánuel László,magyar,https://www.uni-corvinus.hu/tantargyak/MSMT038NMOB?semester=2024/25/1
Az EU agrárpolitikája és -intézményrendszere,6,Dr. Mizik Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/VF00032NMBB?semester=2024/25/1
Az EU agrárpolitikája és -intézményrendszere,6,Dr. Mizik Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/VF00052NMBS?semester=2024/25/1
Az EU aktuális kérdései,3,Dr. Komanovics Adrienne Kinga,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NGK36B?semester=2024/25/2
Az EU politikai rendszere,3,Dr. Dúró József,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NCK11B?semester=2023/24/2
Az európai civilizáció gyökerei,3,dr. Zsinka László,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NDV73B?semester=2023/24/2
Az európai civilizáció kialakulása,3,dr. Zsinka László,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NDV74B?semester=2023/24/1
Az Európai Unió kialakulása és működése,3,Miklós Gábor,magyar,https://www.uni-corvinus.hu/tantargyak/4VG32NAV57B?semester=2024/25/2
Az Európai Unió politikai rendszere és főbb szakpolitikái,3,Dr. Virág Attila,magyar,https://www.uni-corvinus.hu/tantargyak/2VE92LAV02S?semester=2024/25/2
Az Európai Uniós Belső Piac,3,Dr. Csöndes Mónika,magyar,https://www.uni-corvinus.hu/tantargyak/2JO11NAK05B?semester=2024/25/2
Az Excel VBA használata haladó szinten,3,Dr. Juhász Péter,magyar,https://www.uni-corvinus.hu/tantargyak/2BE52NAK07O?semester=2024/25/1
Az információs aszimmetria közgazdaságtana,4,Ágoston Kolos Csaba,magyar,https://www.uni-corvinus.hu/tantargyak/4MK24NAK17O?semester=2024/25/2
Az iszlám civilizáció története,3,dr. Vékony Dániel,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NFV56B?semester=2023/24/2
Balkán-tanulmányok,3,dr. Kemenszky Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NDK33M?semester=2023/24/2
Bank- és közpénzügyek,6,Dr. Kürthy Gábor,magyar,https://www.uni-corvinus.hu/tantargyak/PENZ011NMOB?semester=2024/25/2
"Banki beszámolók értelmezése, kontrolling",4,Dr. Gulyás Éva,magyar,https://www.uni-corvinus.hu/tantargyak/SZAM012LMSB?semester=2024/25/2
Banking,6,Dr. Pesuth Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/PENZ045NAMB?semester=2024/25/2
Banking in the 21st Century,3,Dr. Sebestyén Géza,magyar,https://www.uni-corvinus.hu/tantargyak/PENZ060NAMB?semester=2024/25/2
Bankmenedzsment projektfeladat,4,Dr. Kürthy Gábor,magyar,https://www.uni-corvinus.hu/tantargyak/PSPE033LMSB?semester=2024/25/2
